Operating permit number,Address,Mechanical system type,Current system status,Permit renewal date,Voluntary participant,Date of most recent report,Legionella pneumophila,Marker colour,Escherichia coli,Turbidity,Temperature,Total Suspended Solids,Benzene,Toluene,Ethylbenzene,Xylenes Total,EOCP certification number,Geom,Geo Local Area,Water quality reports link,geo_point_2d
OP-2022-00107,"349 W GEORGIA STREET, Vancouver, BC V6B 0N2",Cooling Tower,Active,10/24/2025,N,2/3/2025,0,blue,,,,,,,,,1001332,"{""coordinates"":[-123.1133511,49.2813606],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00107,"49.2813606, -123.1133511"
OP-2023-00013,"2520 MANITOBA STREET, Vancouver, BC V5Y 3A6",Building Water Treatment System,Active,3/2/2025,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.1064179,49.2627459],""type"":""Point""}",Mount Pleasant,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2023-00013,"49.2627459, -123.1064179"
OP-2022-00032,"1038 CANADA PLACE, Vancouver, BC V6C 0B9",Decorative Water Feature,Active,2/17/2026,N,11/21/2024,0,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1165309,49.2881288],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00032,"49.2881288, -123.1165309"
OP-2022-00043,"975 CHILCO STREET, Vancouver, BC V6G 2R5",Building Water Treatment System,Active,3/10/2025,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.1414706,49.2915931],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00043,"49.2915931, -123.1414706"
OP-2022-00052,"1280 BURRARD STREET, Vancouver, BC V6Z 1Z1",Decorative Water Feature,Active,4/19/2025,N,12/19/2024,0,blue,,,,,,,,,ASSE 50342,"{""coordinates"":[-123.1302888,49.278277],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00052,"49.278277, -123.1302888"
OP-2022-00053,"2608 GRANVILLE STREET, Vancouver, BC V6H 3V3",Cooling Tower,Inactive,4/27/2025,N,10/3/2024,0,blue,,,,,,,,,ASSE 50103,"{""coordinates"":[-123.1381877,49.262161],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00053,"49.262161, -123.1381877"
OP-2022-00054,"1600 HOWE STREET #2, Vancouver, BC V6Z 2L9",Decorative Water Feature,Inactive,4/28/2026,N,11/25/2024,,blue,,,,,,,,,,"{""coordinates"":[-123.1324542,49.2737993],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00054,"49.2737993, -123.1324542"
OP-2022-00064,"1133 MELVILLE STREET, Vancouver, BC V6E 4E5",Rainwater Harvesting/Alternative Water Systems,Active,5/31/2025,N,12/27/2024,0,blue,<2,0.55,,,,,,,50103,"{""coordinates"":[-123.1227525,49.287322],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00064,"49.287322, -123.1227525"
OP-2022-00067,"2665 W BROADWAY, Vancouver, BC V6K 2G2",Building Water Treatment System,Active,6/2/2025,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.1655177,49.2642965],""type"":""Point""}",Kitsilano,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00067,"49.2642965, -123.1655177"
OP-2022-00074,"2755 PRINCE EDWARD STREET, Vancouver, BC",Cooling Tower,Inactive,6/16/2025,N,9/24/2024,,blue,,,,,,,,,1001128,"{""coordinates"":[-123.0962438,49.2604452],""type"":""Point""}",Mount Pleasant,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00074,"49.2604452, -123.0962438"
OP-2023-00033,"833 W PENDER STREET, Vancouver, BC V6C 1K7",Decorative Water Feature,Inactive,8/15/2025,N,11/15/2024,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.116242,49.2859234],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2023-00033,"49.2859234, -123.116242"
OP-2023-00034,"3430 E KENT AVENUE SOUTH, Vancouver, BC V5S 4N4",Cooling Tower,Active,8/22/2025,N,2/5/2025,0,blue,,,,,,,,,1001128,"{""coordinates"":[-123.0308291,49.2049742],""type"":""Point""}",Killarney,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2023-00034,"49.2049742, -123.0308291"
OP-2023-00040,"1090 W PENDER STREET, Vancouver, BC V6E 2N7",Cooling Tower,Active,10/2/2025,N,1/29/2025,0,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1202195,49.2871644],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2023-00040,"49.2871644, -123.1202195"
OP-2022-00076,"2881 MAIN STREET, Vancouver, BC V5T 3G1",Cooling Tower,Inactive,6/27/2025,N,11/19/2024,,blue,,,,,,,,,1001128,"{""coordinates"":[-123.1016271,49.2596089],""type"":""Point""}",Mount Pleasant,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00076,"49.2596089, -123.1016271"
OP-2022-00082,"1289 HORNBY STREET, Vancouver, BC",Cooling Tower,Inactive,7/27/2025,N,10/29/2024,,blue,,,,,,,,,1001128,"{""coordinates"":[-123.1296419,49.2774536],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00082,"49.2774536, -123.1296419"
OP-2022-00088,"320 GRANVILLE STREET, Vancouver, BC V6C 1S9",Cooling Tower,Active,8/3/2025,N,1/10/2025,0,blue,,,,,,,,,1001362,"{""coordinates"":[-123.1128415,49.2855713],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00088,"49.2855713, -123.1128415"
OP-2022-00117,"525 W 8TH AVENUE, Vancouver, BC V5Z 1C6",Decorative Water Feature,Active,12/14/2025,N,2/25/2025,,blue,,,,,,,,,1001618,"{""coordinates"":[-123.1157539,49.264383],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2022-00117,"49.264383, -123.1157539"
OP-2024-00026,"1180 BROUGHTON STREET, Vancouver, BC V6G 2B1",Decorative Water Feature,Inactive,6/12/2025,N,10/28/2024,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.1355336,49.2835637],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2024-00026,"49.2835637, -123.1355336"
OP-2024-00032,"1111 SEYMOUR STREET, Vancouver, BC V6B 3M7",Decorative Water Feature,Active,7/17/2025,N,1/29/2025,0,blue,,,,,,,,,1001364,"{""coordinates"":[-123.1243265,49.2774562],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2024-00032,"49.2774562, -123.1243265"
