Operating permit number,Address,Mechanical system type,Current system status,Permit renewal date,Voluntary participant,Date of most recent report,Legionella pneumophila,Marker colour,Escherichia coli,Turbidity,Temperature,Total Suspended Solids,Benzene,Toluene,Ethylbenzene,Xylenes Total,EOCP certification number,Geom,Geo Local Area,Water quality reports link,geo_point_2d
OP-2019-00003,"638 BEACH CRESCENT, Vancouver, BC V6Z 3H4",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1304332,49.2731511],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00003,"49.2731511, -123.1304332"
OP-2019-00004,"588 BROUGHTON STREET, Vancouver, BC V6G 3E3",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1263013,49.2894972],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00004,"49.2894972, -123.1263013"
OP-2019-00017,"3628 RAE AVENUE, Vancouver, BC V5R 2P5",Building Water Treatment System,Active,12/4/2025,N,12/4/2020,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0252783,49.2364429],""type"":""Point""}",Renfrew-Collingwood,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00017,"49.2364429, -123.0252783"
OP-2019-00020,"1145 BURNABY STREET, Vancouver, BC V6E 1P3",Building Water Treatment System,Active,12/9/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1331978,49.2806645],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00020,"49.2806645, -123.1331978"
OP-2019-00022,"5603 BALSAM STREET, Vancouver, BC V6M 4B5",Building Water Treatment System,Active,12/9/2025,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.1616998,49.2357599],""type"":""Point""}",Arbutus Ridge,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00022,"49.2357599, -123.1616998"
OP-2019-00037,"3 N GARDEN DRIVE, Vancouver, BC V5L 5C6",Building Water Treatment System,Active,12/9/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0581152,49.2850667],""type"":""Point""}",Grandview-Woodland,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00037,"49.2850667, -123.0581152"
OP-2019-00038,"1445 MARPOLE AVENUE, Vancouver, BC V6H 1S5",Building Water Treatment System,Active,12/9/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1383905,49.2575366],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00038,"49.2575366, -123.1383905"
OP-2019-00001,"838 W HASTINGS STREET, Vancouver, BC V6C 1C8",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1157214,49.2861166],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00001,"49.2861166, -123.1157214"
OP-2019-00002,"183 KEEFER PLACE, Vancouver, BC V6B 6B9",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1083769,49.2802457],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00002,"49.2802457, -123.1083769"
OP-2019-00005,"2410 CORNWALL AVENUE, Vancouver, BC V6K 1B8",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1602827,49.2723913],""type"":""Point""}",Kitsilano,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00005,"49.2723913, -123.1602827"
OP-2019-00006,"1468 W 14TH AVENUE, Vancouver, BC V6H 0A2",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1373623,49.2586173],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00006,"49.2586173, -123.1373623"
OP-2019-00008,"1438 RICHARDS STREET, Vancouver, BC V6Z 3B8",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1276686,49.2731947],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00008,"49.2731947, -123.1276686"
OP-2019-00013,"1082 SEYMOUR STREET, Vancouver, BC V6B 1X9",Building Water Treatment System,Active,12/3/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1229555,49.2776268],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00013,"49.2776268, -123.1229555"
OP-2019-00018,"822 SEYMOUR STREET, Vancouver, BC V6B 1L7",Cooling Tower,Inactive,1/5/2027,N,11/11/2024,,blue,,,,,,,,,1001618,"{""coordinates"":[-123.1189085,49.2803921],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00018,"49.2803921, -123.1189085"
OP-2019-00024,"3217 E 58TH AVENUE, Vancouver, BC V5S 3T1",Building Water Treatment System,Active,1/5/2026,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.0364474,49.2176348],""type"":""Point""}",Killarney,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00024,"49.2176348, -123.0364474"
OP-2019-00028,"2138 E KENT AVENUE SOUTH, Vancouver, BC V5P 4X2",Building Water Treatment System,Active,12/9/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0633566,49.2064034],""type"":""Point""}",Victoria-Fraserview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00028,"49.2064034, -123.0633566"
OP-2019-00058,"2060 W 10TH AVENUE, Vancouver, BC V6J 2B3",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1518987,49.2625868],""type"":""Point""}",Kitsilano,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00058,"49.2625868, -123.1518987"
OP-2019-00069,"650 N PENTICTON STREET, Vancouver, BC V5K 3L8",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0506165,49.2910232],""type"":""Point""}",Hastings-Sunrise,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00069,"49.2910232, -123.0506165"
OP-2019-00072,"1718 NELSON STREET, Vancouver, BC V6G 1M8",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1377268,49.2883325],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00072,"49.2883325, -123.1377268"
OP-2019-00075,"1126 W 11TH AVENUE, Vancouver, BC V6H 1K3",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1297789,49.2612982],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00075,"49.2612982, -123.1297789"
OP-2019-00039,"1516 DAVIE STREET, Vancouver, BC V6G 1V6",Building Water Treatment System,Active,12/9/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1381686,49.2845163],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00039,"49.2845163, -123.1381686"
OP-2019-00048,"1820 E KENT AVENUE SOUTH, Vancouver, BC V5P 2S7",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0686354,49.2075788],""type"":""Point""}",Victoria-Fraserview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00048,"49.2075788, -123.0686354"
OP-2019-00050,"1033 MARINASIDE CRESCENT, Vancouver, BC V6Z 3A3",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1166353,49.2736301],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00050,"49.2736301, -123.1166353"
OP-2019-00052,"3088 W 41ST AVENUE, Vancouver, BC V6N 3C9",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1747682,49.2344367],""type"":""Point""}",Kerrisdale,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00052,"49.2344367, -123.1747682"
OP-2019-00056,"1408 STRATHMORE MEWS, Vancouver, BC V6Z 3A9",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1266287,49.2726806],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00056,"49.2726806, -123.1266287"
OP-2019-00057,"228 E 4TH AVENUE, Vancouver, BC V5T 1G5",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.0997338,49.2670432],""type"":""Point""}",Mount Pleasant,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00057,"49.2670432, -123.0997338"
OP-2019-00060,"340 E CORDOVA STREET, Vancouver, BC V6A 1L5",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0965872,49.2819739],""type"":""Point""}",Strathcona,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00060,"49.2819739, -123.0965872"
OP-2019-00065,"221 UNION STREET, Vancouver, BC V6A 0B4",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0986423,49.2779038],""type"":""Point""}",Strathcona,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00065,"49.2779038, -123.0986423"
OP-2019-00078,"1100 W 7TH AVENUE, Vancouver, BC V6H 1B4",Building Water Treatment System,Active,12/11/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1294707,49.2649469],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00078,"49.2649469, -123.1294707"
OP-2019-00080,"183 DRAKE STREET, Vancouver, BC V6Z 2Y8",Building Water Treatment System,Active,12/15/2025,N,3/27/2020,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1227339,49.2732254],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00080,"49.2732254, -123.1227339"
OP-2019-00089,"1299 W 7TH AVENUE, Vancouver, BC V6H 1B7",Building Water Treatment System,Active,12/16/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.133365,49.2655098],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00089,"49.2655098, -123.133365"
OP-2019-00102,"415 NELSON STREET, Vancouver, BC V6B 6K6",Building Water Treatment System,Active,12/17/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1201067,49.2776949],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00102,"49.2776949, -123.1201067"
OP-2019-00107,"1 ATHLETES WAY, Vancouver, BC V5Y 0B1",Cooling Tower,Inactive,12/22/2025,N,10/21/2024,,blue,,,,,,,,,1001362,"{""coordinates"":[-123.1057712,49.27179],""type"":""Point""}",Mount Pleasant,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00107,"49.27179, -123.1057712"
OP-2019-00066,"1189 HOWE STREET, Vancouver, BC V6Z 2X4",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1269676,49.2783011],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00066,"49.2783011, -123.1269676"
OP-2019-00067,"1399 FOUNTAIN WAY COURT, Vancouver, BC",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1354053,49.2676857],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00067,"49.2676857, -123.1354053"
OP-2019-00073,"1072 HAMILTON STREET, Vancouver, BC V6B 2R9",Building Water Treatment System,Active,12/10/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1204146,49.2760548],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00073,"49.2760548, -123.1204146"
OP-2019-00077,"1575 W 10TH AVENUE, Vancouver, BC V6J 5L1",Building Water Treatment System,Active,12/11/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1396651,49.2629298],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00077,"49.2629298, -123.1396651"
OP-2019-00094,"1600 HORNBY STREET, Vancouver, BC V6Z 2S4",Building Water Treatment System,Active,12/16/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1340772,49.2739955],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00094,"49.2739955, -123.1340772"
OP-2019-00109,"515 W 10TH AVENUE, Vancouver, BC V5Z 4A8",Cooling Tower,Inactive,12/22/2025,N,11/19/2024,,blue,,,,,,,,,1001336,"{""coordinates"":[-123.1155124,49.2625211],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00109,"49.2625211, -123.1155124"
OP-2020-00016,"401 W GEORGIA STREET, Vancouver, BC V6B 5A1",Cooling Tower,Active,1/6/2026,N,1/24/2025,0,blue,,,,,,,,,50103,"{""coordinates"":[-123.114603,49.28134],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00016,"49.28134, -123.114603"
OP-2020-00021,"999 W HASTINGS STREET, Vancouver, BC V6C 2W2",Cooling Tower,Inactive,1/7/2026,N,9/6/2024,,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1160945,49.2871894],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00021,"49.2871894, -123.1160945"
OP-2019-00112,"1110 ODLUM DRIVE, Vancouver, BC V5L 3L7",Building Water Treatment System,Active,12/28/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0754451,49.2746386],""type"":""Point""}",Grandview-Woodland,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00112,"49.2746386, -123.0754451"
OP-2020-00001,"2065 W 12TH AVENUE, Vancouver, BC V6J 5L9",Building Water Treatment System,Active,12/31/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1516353,49.2612828],""type"":""Point""}",Kitsilano,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00001,"49.2612828, -123.1516353"
OP-2020-00012,"550 BURRARD STREET, Vancouver, BC V6C 2B5",Decorative Water Feature,Inactive,1/5/2026,N,2/13/2025,,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1181517,49.2857132],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00012,"49.2857132, -123.1181517"
OP-2020-00017,"1611 MAIN STREET, Vancouver, BC V6A 2W5",Cooling Tower,Active,1/6/2026,N,1/15/2025,0,blue,,,,,,,,,1001618,"{""coordinates"":[-123.1007184,49.2708888],""type"":""Point""}",Mount Pleasant,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00017,"49.2708888, -123.1007184"
OP-2020-00019,"515 W HASTINGS STREET, Vancouver, BC",Cooling Tower,Active,1/7/2026,N,1/29/2025,0,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1120152,49.284199],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00019,"49.284199, -123.1120152"
OP-2020-00027,"1155 ROBSON STREET, Vancouver, BC",Cooling Tower,Inactive,1/11/2026,N,11/19/2024,,blue,,,,,,,,,59863,"{""coordinates"":[-123.125721,49.2855547],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00027,"49.2855547, -123.125721"
OP-2020-00034,"1155 MAINLAND STREET, Vancouver, BC V6B 5P2",Building Water Treatment System,Active,1/13/2026,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1217331,49.2751803],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00034,"49.2751803, -123.1217331"
OP-2020-00037,"1200 W GEORGIA STREET, Vancouver, BC V6E 4R2",Building Water Treatment System,Active,1/13/2026,N,1/11/2021,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1264168,49.2874106],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00037,"49.2874106, -123.1264168"
OP-2020-00025,"1681 CHESTNUT STREET, Vancouver, BC V6J 4M6",Cooling Tower,Active,1/11/2026,N,2/6/2025,0,blue,,,,,,,,,1001128,"{""coordinates"":[-123.1467832,49.2709365],""type"":""Point""}",Kitsilano,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00025,"49.2709365, -123.1467832"
OP-2020-00026,"900 HOWE STREET, Vancouver, BC V6Z 2M4",Cooling Tower,Active,1/11/2026,N,1/21/2025,0,blue,,,,,,,,,1001336,"{""coordinates"":[-123.1226431,49.2804467],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00026,"49.2804467, -123.1226431"
OP-2020-00031,"1030 QUEBEC STREET, Vancouver, BC V6A 4K8",Building Water Treatment System,Active,1/13/2026,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.101255,49.2756771],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00031,"49.2756771, -123.101255"
OP-2020-00032,"1050 SMITHE STREET, Vancouver, BC V6E 4T4",Building Water Treatment System,Active,1/13/2026,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.125599,49.2833086],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00032,"49.2833086, -123.125599"
OP-2020-00046,"1438 W 7TH AVENUE, Vancouver, BC V6H 1C1",Building Water Treatment System,Active,1/13/2026,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.1370198,49.2650574],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00046,"49.2650574, -123.1370198"
OP-2020-00053,"1735 NELSON STREET, Vancouver, BC V6G 1M7",Building Water Treatment System,Active,1/13/2026,N,3/27/2020,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1373998,49.2889543],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00053,"49.2889543, -123.1373998"
OP-2020-00054,"1740 COMOX STREET, Vancouver, BC V6G 2Z1",Building Water Treatment System,Active,1/13/2026,N,3/27/2020,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.1390654,49.2878005],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00054,"49.2878005, -123.1390654"
OP-2020-00039,"1225 RICHARDS STREET, Vancouver, BC V6B 1E6",Building Water Treatment System,Active,1/13/2026,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1249389,49.2757791],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00039,"49.2757791, -123.1249389"
OP-2020-00058,"1010 HOWE STREET, Vancouver, BC V6Z 1P5",Building Water Treatment System,Active,1/14/2026,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.1241868,49.279488],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00058,"49.279488, -123.1241868"
OP-2020-00067,"2733 CHANDLERY PLACE, Vancouver, BC V5S 4V3",Building Water Treatment System,Active,1/14/2026,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0511596,49.207057],""type"":""Point""}",Killarney,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00067,"49.207057, -123.0511596"
OP-2020-00069,"302 COLUMBIA STREET, Vancouver, BC",Building Water Treatment System,Active,1/14/2026,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1021963,49.2818666],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00069,"49.2818666, -123.1021963"
OP-2020-00075,"4750 ARBUTUS STREET, Vancouver, BC V6J 4A4",Building Water Treatment System,Active,1/14/2026,N,,,blue,,,,,,,,,100380,"{""coordinates"":[-123.1526185,49.243249],""type"":""Point""}",Arbutus Ridge,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00075,"49.243249, -123.1526185"
OP-2020-00080,"609 GRANVILLE STREET, Vancouver, BC",Cooling Tower,Active,1/15/2026,N,2/11/2025,1,blue,,,,,,,,,1001342,"{""coordinates"":[-123.117746,49.2833965],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00080,"49.2833965, -123.117746"
OP-2020-00084,"725 GRANVILLE STREET, Vancouver, BC",Cooling Tower,Active,1/15/2026,N,2/5/2025,0,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1194942,49.2822452],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00084,"49.2822452, -123.1194942"
OP-2020-00062,"2055 PENDRELL STREET, Vancouver, BC V6G 1T9",Building Water Treatment System,Active,1/14/2026,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1442527,49.2906129],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00062,"49.2906129, -123.1442527"
OP-2020-00064,"2159 WALL STREET, Vancouver, BC V5L 1B3",Building Water Treatment System,Active,1/14/2026,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0610062,49.2878116],""type"":""Point""}",Grandview-Woodland,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00064,"49.2878116, -123.0610062"
OP-2020-00071,"3235 W 4TH AVENUE, Vancouver, BC V6K 1R8",Building Water Treatment System,Active,1/14/2026,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.176566,49.2687564],""type"":""Point""}",Kitsilano,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00071,"49.2687564, -123.176566"
OP-2020-00073,"3463 CROWLEY DRIVE, Vancouver, BC V5R 6C6",Building Water Treatment System,Active,1/14/2026,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.0310769,49.2372333],""type"":""Point""}",Renfrew-Collingwood,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00073,"49.2372333, -123.0310769"
OP-2020-00078,"5629 DUNBAR STREET, Vancouver, BC V6N 1W5",Building Water Treatment System,Active,1/14/2026,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1857362,49.235363],""type"":""Point""}",Dunbar-Southlands,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00078,"49.235363, -123.1857362"
OP-2020-00079,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3",Cooling Tower,Inactive,1/14/2026,N,10/23/2024,,blue,,,,,,,,,1001333,"{""coordinates"":[-123.1219852,49.2888328],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00079,"49.2888328, -123.1219852"
OP-2020-00091,"1596 W 14TH AVENUE, Vancouver, BC V6J 2H9",Cooling Tower,Inactive,1/18/2026,N,12/2/2024,,blue,,,,,,,,,1001362,"{""coordinates"":[-123.1405187,49.2586649],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00091,"49.2586649, -123.1405187"
OP-2020-00104,"100 N RENFREW STREET, Vancouver, BC",Cooling Tower,Active,1/19/2026,N,2/6/2025,0,blue,,,,,,,,,1001656,"{""coordinates"":[-123.0439451,49.2877587],""type"":""Point""}",Hastings-Sunrise,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00104,"49.2877587, -123.0439451"
OP-2020-00083,"700 W GEORGIA STREET, Vancouver, BC V7Y 1K8",Cooling Tower,Active,1/15/2026,N,2/5/2025,0,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1194942,49.2822452],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00083,"49.2822452, -123.1194942"
OP-2020-00088,"750 W PENDER STREET, Vancouver, BC V6C 2T7",Cooling Tower,Active,1/15/2026,N,1/7/2025,0,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1156241,49.284808],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00088,"49.284808, -123.1156241"
